(156, ('inf', 'inf', 'inf'))
(157, ('61.875', '65.8', '162538'))
(158, ('65.25', '65.4', '163425'))
(159, ('65.25', '36', '104625'))
(160, ('64.125', '35.4', '102863'))
(161, ('79.3125', '27.6', '94856.2'))
(162, ('64.6875', '46.4', '125144'))
(163, ('84.375', '24.6', '91387.5'))
(164, ('60.75', '36.6', '103575'))
(165, ('65.25', '58.4', '149425'))
(166, ('64.125', '34.6', '101262'))
(167, ('64.6875', '35.2', '102744'))
(168, ('67.5', '35.6', '104950'))
(169, ('65.8125', '35.4', '103706'))
(170, ('79.875', '28', '95937.5'))
(171, ('76.5', '29', '96250'))
(172, ('64.125', '35.6', '103262'))
(173, ('64.125', '33.4', '98862.5'))
(174, ('84.9375', '25.6', '93668.8'))
(175, ('inf', 'inf', 'inf'))
(176, ('77.625', '28.2', '95212.5'))
(177, ('77.625', '29', '96812.5'))
(178, ('66.9375', '32.4', '98268.8'))
(179, ('73.6875', '27.8', '92443.8'))
(180, ('76.5', '28.4', '95050'))
(181, ('67.5', '33.8', '101350'))
(182, ('68.0625', '32.8', '99631.2'))
(183, ('61.3125', '65.8', '162256'))
(184, ('inf', 'inf', 'inf'))
(185, ('64.6875', '64.2', '160744'))
(186, ('65.8125', '36', '104906'))
(187, ('inf', 'inf', 'inf'))
(188, ('81', '28', '96500'))
(189, ('64.6875', '57.4', '147144'))
(190, ('inf', 'inf', 'inf'))
(191, ('inf', 'inf', 'inf'))
(192, ('67.5', '31.8', '97350'))
(193, ('68.0625', '31.2', '96431.2'))
(194, ('79.3125', '28.2', '96056.2'))
(195, ('66.9375', '32.6', '98668.8'))
(196, ('68.625', '32', '98312.5'))
(197, ('66.375', '39.6', '112388'))
(198, ('74.25', '30.2', '97525'))
(199, ('64.125', '36.6', '105262'))
(200, ('65.25', '50.4', '133425'))
(201, ('61.3125', '42', '114656'))
(202, ('61.875', '35.2', '101338'))
(203, ('63', '42.2', '115900'))
(204, ('85.5', '26.4', '95550'))
(205, ('63', '34.8', '101100'))
